	Gewinn Gesamt	Kosten
0	-179671.36149413424	179671.36149413424
1	-179530.56149413425	179675.88449413422
2	-179390.69649413423	179680.40649413425
3	-179256.90349413423	179684.92949413424
4	-179121.09849413423	179689.45149413423
5	-179025.31749413424	179693.97449413425
6	-178893.20449413423	179698.49649413425
7	-178795.98549413425	179703.01949413423
8	-178664.97249413424	179707.54149413423
9	-178503.50849413424	179712.06449413425
10	-178376.86149413424	179716.58649413424
11	-178054.24049413422	179721.10949413423
12	-177907.52749413424	179725.63249413425
13	-177957.53849413423	179730.15449413424
14	-177825.93849413423	179734.67749413423
15	-177621.81749413424	179739.19949413423
16	-177486.80349413425	179743.72249413424
17	-177155.83349413425	179748.24449413424
18	-177003.40249413424	179752.76749413423
19	-176582.39149413424	179757.28949413425
20	-176421.73849413425	179761.81249413424
21	-176045.53449413425	179766.33449413424
22	-175872.09049413423	179770.85749413425
23	-176054.84649413422	179775.37949413425
24	-175899.53549413424	179779.90249413424
25	-175729.35049413424	179784.42549413425
26	-175555.48849413425	179788.94749413425
27	-175687.15349413423	179793.47049413424
28	-175534.90849413423	179797.99249413423
29	-175284.55049413425	179802.51549413425
30	-175130.20649413424	179807.03749413425
31	-174308.11849413425	179811.56049413423
32	-174134.56349413423	179816.08249413423
33	-173960.98049413424	179820.60549413424
34	-173782.44549413424	179825.12749413424
35	-174519.28449413425	179829.65049413423
36	-174372.62549413423	179834.17349413424
37	-174035.19549413424	179838.69549413424
38	-173884.67349413424	179843.21849413423
39	-173528.64049413425	179847.74049413422
40	-173374.09349413423	179852.26349413424
41	-173468.33549413423	179856.78549413424
42	-173305.66849413424	179861.30849413422
43	-173109.06449413425	179865.83049413425
44	-172950.76949413423	179870.35349413424
45	-172688.74049413422	179874.87549413423
46	-172529.11649413424	179879.39849413425
47	-172329.54549413425	179883.92149413424
48	-172172.98449413423	179888.44349413423
49	-171784.34549413424	179892.96649413425
50	-171615.14049413425	179897.48849413425
51	-171032.81149413425	179902.01149413423
52	-170858.76449413423	179906.53349413423
53	-171227.23449413423	179911.05649413425
54	-171052.49349413425	179915.57849413424
55	-171306.82549413425	179920.10149413423
56	-171151.58249413423	179924.62349413423
57	-170629.24949413424	179929.14649413424
58	-170455.50249413424	179933.66849413424
59	-170327.94149413423	179938.19149413423
60	-170153.47649413423	179942.71449413424
61	-170402.70149413423	179947.23649413424
62	-170246.55349413425	179951.75949413422
63	-170357.11849413425	179956.28149413425
64	-170201.80449413424	179960.80449413424
65	-169244.25649413423	179965.32649413423
66	-169055.59449413425	179969.84949413425
67	-167731.53949413425	179974.37149413425
68	-167543.64149413424	179978.89449413423
69	-169524.70749413423	179983.41649413423
70	-169376.24449413424	179987.93949413425
71	-168397.00349413423	179992.46249413423
72	-168223.01949413423	179996.98449413423
73	-167320.92749413423	180001.50749413425
74	-167145.21849413423	180006.02949413424
75	-168345.79149413423	180010.55249413423
76	-168184.12949413425	180015.07449413423
77	-168478.90249413424	180019.59749413424
78	-168311.92349413424	180024.11949413424
79	-167077.38749413425	180028.64249413423
80	-166909.20249413425	180033.16449413425
81	-164667.53149413425	180037.68749413424
82	-164476.73849413425	180042.21049413423
83	-166274.65649413425	180046.73249413425
84	-166091.62849413423	180051.25549413424
