Tage;Deutschland/Luxemburg [€/MWh] Berechnete Auflösungen
1,00;16,18
2,00;53,07
3,00;45,21
4,00;85,41
5,00;91,37
6,00;88,72
7,00;86,33
8,00;102,23
9,00;109,39
10,00;111,84
11,00;109,65
12,00;106,04
13,00;74,57
14,00;76,15
15,00;86,5
16,00;101,14
17,00;99,61
18,00;92,74
19,00;78,51
20,00;73,66
21,00;50,26
22,00;49,84
23,00;52,28
24,00;33,12
25,00;78,02
26,00;59,23
27,00;68,35
28,00;59,28
29,00;81,03
30,00;77,97
31,00;76
32,00;72,04
33,00;61,66
34,00;35,97
35,00;14,78
36,00;35,84
37,00;45,29
38,00;79,16
39,00;88,7
40,00;70,52
41,00;72,13
42,00;61,96
43,00;74,75
44,00;72,23
45,00;68,16
46,00;70,5
47,00;61,06
48,00;66,65
49,00;53,18
50,00;65,29
51,00;63,22
52,00;57,57
53,00;50,92
54,00;43,74
55,00;57,2
56,00;61,09
57,00;66,27
58,00;73,84
59,00;71,82
60,00;63,2
61,00;71,01
62,00;64,22
63,00;60,47
64,00;75,89
65,00;74,6
66,00;82,84
67,00;76,32
68,00;62,33
69,00;45,61
70,00;34
71,00;71,67
72,00;86,47
73,00;72,46
74,00;67,06
75,00;55,9
76,00;50,36
77,00;61,81
78,00;81,25
79,00;81,57
80,00;91,34
81,00;81,39
82,00;68,54
83,00;37,58
84,00;25,87
85,00;84,56
86,00;66,14
87,00;76,3
88,00;51,35
89,00;37,76
90,00;53,25
91,00;55,45
92,00;35,88
93,00;33,35
94,00;87,37
95,00;64,53
96,00;46,59
97,00;29,74
98,00;20,76
99,00;84,87
100,00;57,99
101,00;69,91
102,00;58,81
103,00;60,95
104,00;13,82
105,00;16,75
106,00;70,19
107,00;56,26
108,00;102,01
109,00;95,82
110,00;58,82
111,00;58,24
112,00;55,15
113,00;98,53
114,00;97,76
115,00;94,3
116,00;90,63
117,00;86,44
118,00;62,17
119,00;12,99
120,00;80,8
121,00;69,38
122,00;4,39
123,00;36,42
124,00;77,81
125,00;75,15
126,00;54,16
127,00;93,18
128,00;93,04
129,00;91,82
130,00;61,86
131,00;75,99
132,00;53,65
133,00;1,78
134,00;46,41
135,00;27,68
136,00;42,93
137,00;49,56
138,00;69,01
139,00;55,8
140,00;52,5
141,00;64,98
142,00;79,81
143,00;85,84
144,00;93,87
145,00;102,19
146,00;72,26
147,00;57,93
148,00;106,88
149,00;90,75
150,00;79,18
